track_id,track_name,danceability,energy,tempo,loudness,valence,speechiness,instrumentalness,liveness,acousticness
0VtiO1D14T68y8DEMMNS8d,Love Today,0.671,0.901,124.464,-4.83,0.63,0.0682,0.00478,0.115,0.0293
5bLVrPldS8KXxkhuFLIqZO,Happy Ending/Over My Shoulder,0.35,0.237,119.569,-10.047,0.0959,0.0386,3.3e-06,0.283,0.846
30qVCFYKBtAENjTIBA8FPZ,The River of Dreams,0.631,0.749,89.646,-8.15,0.437,0.0576,5.21e-06,0.0667,0.205
2gE95JskwQ1pCACTpGe1Db,Down On The Corner,0.858,0.544,108.217,-9.289,0.874,0.0751,0.00109,0.0707,0.583
3YKptz29AsOlm7WAVnztBh,Kiss from a Rose,0.583,0.532,131.741,-7.11,0.223,0.0309,0.0,0.306,0.684
6Vz7vzOpCwKeSQlfViibuY,Crazy,0.633,0.858,102.559,-7.42,0.725,0.0473,0.0114,0.0655,0.208
7xpDGoUGbtaquk5xMvzwTh,Telegrama,0.643,0.501,94.514,-7.981,0.394,0.0424,0.0463,0.239,0.117
333v4s9EybUEFOY6ComIC2,Amor e Sexo,0.641,0.37,129.843,-10.049,0.176,0.0279,0.0,0.298,0.0646
2Yk0HvfTaijA47aM0Fj88u,Metamorfose Ambulante,0.498,0.587,135.913,-8.324,0.597,0.0304,0.0,0.179,0.372
2jERD2u9uoC7gGNQ0LbCrI,Codinome Beija-Flor,0.482,0.255,95.205,-9.793,0.301,0.031,9.67e-05,0.107,0.946
2UzQqudrAxeZeuJTcPBKBx,Cotidiano,0.434,0.537,89.091,-13.388,0.772,0.071,0.00123,0.0542,0.71
2cZKVvZYfuoTtdha8FEGQi,Relicário - Ao Vivo,0.3,0.7,165.642,-6.567,0.398,0.036,0.0,0.186,0.53
0dWOiVQwoUYTtXD0VVgmJQ,Chega de Saudade,0.563,0.242,87.771,-16.004,0.647,0.0327,0.0,0.166,0.743
5Wl9fPpzcNSE72hJAOuG3R,Tropicana (Morena Tropicana),0.641,0.802,134.11,-6.673,0.759,0.15,0.0,0.209,0.149
2ukW9zOr51AYeLSmCtTVqW,Não Me Deixe Só,0.731,0.469,107.093,-10.724,0.641,0.0379,0.0115,0.0976,0.333
6A3Q8BVAAI2PW1s6MX4ZGF,Boa Sorte / Good Luck,0.779,0.566,111.022,-9.289,0.28,0.05,0.000463,0.0814,0.323
2EYilkg1F79h8ch4f4Csii,Segue o Som,0.781,0.544,92.002,-7.557,0.688,0.0306,0.000138,0.0789,0.206
5W7fIifB8wRBPN6yOcHpi2,Samba de uma nota só,0.724,0.573,88.028,-8.346,0.437,0.0356,0.00445,0.107,0.472
6zBw2Qqqj2daIoST9XIJC4,"Ai, Ai, Ai...",0.64,0.718,130.119,-4.592,0.92,0.0275,0.000305,0.115,0.00214
7CdDIvw3jvjNaIs5m3mM4A,La Belle De Jour,0.644,0.404,105.062,-12.54,0.689,0.0348,0.000291,0.167,0.159
5ua6ByZaOw4hlMP6i8Vjdz,Tá perdoado,0.78,0.571,102.026,-8.651,0.858,0.061,1.26e-05,0.0767,0.586
2zJespNLwpMVcD8bPyaFef,O Segundo Sol - Acoustic,0.424,0.713,151.281,-7.406,0.461,0.049,0.0,0.741,0.533
7dxK6RSoCWZcb5gobxs1h9,Vamos Fugir,0.6,0.752,135.98,-5.66,0.735,0.0358,0.0,0.0846,0.191
